Station:Prince George Plaza 400 -  , Date Time                 , PM25    
 ,                           , ug/m3   
 , 1/21/2018 2:00 AM         , 11.9    
 , 1/21/2018 3:00 AM         , 8.9     
 , 1/21/2018 4:00 AM         , 12.1    
 , 1/21/2018 5:00 AM         , 10.4    
 , 1/21/2018 6:00 AM         , 9.9     
 , 1/21/2018 7:00 AM         , 7.0     
 , 1/21/2018 8:00 AM         , 4.3     
 , 1/21/2018 9:00 AM         , 11.9    
 , 1/21/2018 10:00 AM        , 1.7     
 , 1/21/2018 11:00 AM        , 0.3     
 , 1/21/2018 12:00 PM        , 0.4     
 , 1/21/2018 1:00 PM         , 0.5     
 , 1/21/2018 2:00 PM         , 0.5     
 , 1/21/2018 3:00 PM         , 0.4     
 , 1/21/2018 4:00 PM         , 0.4     
 , 1/21/2018 5:00 PM         , 0.7     
 , 1/21/2018 6:00 PM         , 7.3     
 , 1/21/2018 7:00 PM         , 3.2     
 , 1/21/2018 8:00 PM         , 4.6     
 , 1/21/2018 9:00 PM         , 4.7     
 , 1/21/2018 10:00 PM        , 10.3    
 , 1/21/2018 11:00 PM        , 10.5    
 , 1/21/2018 24:00 AM        , 7.5     
 , 1/22/2018 1:00 AM         , 2.8     
 , 1/22/2018 2:00 AM         , 2.6     
 , 1/22/2018 3:00 AM         , 1.9     
 , 1/22/2018 4:00 AM         , 2.4     
 , 1/22/2018 5:00 AM         , 2.6     
 , 1/22/2018 6:00 AM         , 2.4     
 , 1/22/2018 7:00 AM         , 2.7     
 , 1/22/2018 8:00 AM         , 3.5     
 , 1/22/2018 9:00 AM         , 3.5     
 , 1/22/2018 10:00 AM        , 3.6     
 , 1/22/2018 11:00 AM        , 1.8     
 , 1/22/2018 12:00 PM        , 2.1     
 , 1/22/2018 1:00 PM         , 2.4     
 , 1/22/2018 2:00 PM         , 1.9     
 , 1/22/2018 3:00 PM         , 4.0     
 , 1/22/2018 4:00 PM         , 4.2     
 , 1/22/2018 5:00 PM         , 3.4     
 , 1/22/2018 6:00 PM         , 8.0     
 , 1/22/2018 7:00 PM         , 7.0     
 , 1/22/2018 8:00 PM         , 9.2     
 , 1/22/2018 9:00 PM         , 5.4     
 , 1/22/2018 10:00 PM        , 9.6     
 , 1/22/2018 11:00 PM        , 8.0     
 , 1/22/2018 24:00 AM        , 6.2     
 , 1/23/2018 1:00 AM         , 7.2     
 , 1/23/2018 2:00 AM         , 10.8    
 , 1/23/2018 3:00 AM         , 17.4    
 , 1/23/2018 4:00 AM         , 10.4    
 , 1/23/2018 5:00 AM         , 8.1     
 , 1/23/2018 6:00 AM         , 9.6     
 , 1/23/2018 7:00 AM         , 10.4    
 , 1/23/2018 8:00 AM         , 12.4    
 , 1/23/2018 9:00 AM         , 15.2    
 , 1/23/2018 10:00 AM        , 15.5    
 , 1/23/2018 11:00 AM        , 13.9    
 , 1/23/2018 12:00 PM        , 12.8    
 , 1/23/2018 1:00 PM         , 14.5    
 , 1/23/2018 2:00 PM         ,         
 , 1/23/2018 3:00 PM         , 11.3    
 , 1/23/2018 4:00 PM         , 5.9     
 , 1/23/2018 5:00 PM         , 1.4     
 , 1/23/2018 6:00 PM         , 1.0     
 , 1/23/2018 7:00 PM         , 1.2     
 , 1/23/2018 8:00 PM         , 4.4     
 , 1/23/2018 9:00 PM         , 4.5     
 , 1/23/2018 10:00 PM        , 1.0     
 , 1/23/2018 11:00 PM        , 5.6     
 , 1/23/2018 24:00 AM        , 10.7    
 , 1/24/2018 1:00 AM         , 11.6    
 , 1/24/2018 2:00 AM         , 3.1     
 , 1/24/2018 3:00 AM         , 5.1     
 , 1/24/2018 4:00 AM         , 12.0    
 , 1/24/2018 5:00 AM         , 15.6    
 , 1/24/2018 6:00 AM         , 25.0    
 , 1/24/2018 7:00 AM         , 16.8    
 , 1/24/2018 8:00 AM         , 23.1    
 , 1/24/2018 9:00 AM         , 23.0    
 , 1/24/2018 10:00 AM        , 18.3    
 , 1/24/2018 11:00 AM        , 21.5    
 , 1/24/2018 12:00 PM        , 23.4    
 , 1/24/2018 1:00 PM         , 7.5     
 , 1/24/2018 2:00 PM         , 5.0     
 , 1/24/2018 3:00 PM         , 2.3     
 , 1/24/2018 4:00 PM         , 2.1     
 , 1/24/2018 5:00 PM         , 3.7     
 , 1/24/2018 6:00 PM         , 8.3     
 , 1/24/2018 7:00 PM         , 12.2    
 , 1/24/2018 8:00 PM         , 20.1    
 , 1/24/2018 9:00 PM         , 30.2    
 , 1/24/2018 10:00 PM        , 23.6    
 , 1/24/2018 11:00 PM        , 7.0     
 , 1/24/2018 24:00 AM        , 4.7     
 , 1/25/2018 1:00 AM         , 4.9     
 , 1/25/2018 2:00 AM         , 5.1     
 , 1/25/2018 3:00 AM         , 6.8     
 , 1/25/2018 4:00 AM         , 5.2     
 , 1/25/2018 5:00 AM         , 3.7     
 , 1/25/2018 6:00 AM         , 3.6     
 , 1/25/2018 7:00 AM         , 3.4     
 , 1/25/2018 8:00 AM         , 4.0     
 , 1/25/2018 9:00 AM         , 5.2     
 , 1/25/2018 10:00 AM        , 10.0    
 , 1/25/2018 11:00 AM        , 8.8     
 , 1/25/2018 12:00 PM        , 4.9     
 , 1/25/2018 1:00 PM         , 2.7     
 , 1/25/2018 2:00 PM         , 2.2     
 , 1/25/2018 3:00 PM         ,         
 , 1/25/2018 4:00 PM         , 3.8     
 , 1/25/2018 5:00 PM         , 4.9     
 , 1/25/2018 6:00 PM         , 6.6     
 , 1/25/2018 7:00 PM         , 12.3    
 , 1/25/2018 8:00 PM         , 13.6    
 , 1/25/2018 9:00 PM         , 11.1    
 , 1/25/2018 10:00 PM        , 11.2    
 , 1/25/2018 11:00 PM        , 11.1    
 , 1/25/2018 24:00 AM        , 11.1    
 , 1/26/2018 1:00 AM         , 12.4    
 , 1/26/2018 2:00 AM         , 13.0    
 , 1/26/2018 3:00 AM         , 13.5    
 , 1/26/2018 4:00 AM         , 13.5    
 , 1/26/2018 5:00 AM         , 11.1    
 , 1/26/2018 6:00 AM         , 11.5    
 , 1/26/2018 7:00 AM         , 10.2    
 , 1/26/2018 8:00 AM         , 8.8     
 , 1/26/2018 9:00 AM         , 9.9     
 , 1/26/2018 10:00 AM        , 11.5    
 , 1/26/2018 11:00 AM        , 10.7    
 , 1/26/2018 12:00 PM        , 10.1    
 , 1/26/2018 1:00 PM         , 9.5     
 , 1/26/2018 2:00 PM         , 10.4    
 , 1/26/2018 3:00 PM         , 7.7     
 , 1/26/2018 4:00 PM         , 7.6     
 , 1/26/2018 5:00 PM         , 8.4     
 , 1/26/2018 6:00 PM         , 9.7     
 , 1/26/2018 7:00 PM         , 9.2     
